season,ibt,adt,both,ibt_rec_only,adt_rec_only,ibt_lmi_only,adt_lmi_only
1981,3,3,3,0,0,0,0
1982,6,8,4,0,0,2,4
1983,6,5,5,0,0,1,0
1984,6,5,5,0,0,1,0
1985,1,3,1,0,0,0,2
1986,2,9,2,0,0,0,7
1987,8,6,4,0,0,4,2
1988,5,5,3,0,0,2,2
1989,5,9,5,0,0,0,4
1990,6,7,6,0,0,0,1
1991,8,7,7,0,0,1,0
1992,9,8,7,0,0,2,1
1993,5,5,3,0,0,2,2
1994,10,10,10,0,0,0,0
1995,6,4,4,0,0,2,0
1996,7,4,4,0,0,3,0
1997,9,9,7,0,1,2,1
1998,4,3,3,0,0,1,0
1999,1,1,1,0,0,0,0
2000,5,6,5,0,0,0,1
2001,4,3,3,0,0,1,0
2002,7,7,6,0,0,1,1
2003,7,4,4,0,0,3,0
2004,9,5,5,0,0,4,0
2005,8,4,3,0,0,5,1
2006,8,6,6,0,0,2,0
2007,7,8,7,0,0,0,1
2008,3,4,3,0,0,0,1
2009,6,6,6,0,0,0,0
2010,2,1,1,0,0,1,0
2011,6,4,4,0,0,2,0
2012,6,6,5,0,0,1,1
2013,8,8,7,0,0,1,1
2014,7,7,7,0,0,0,0
2015,9,9,7,1,1,1,1
2016,9,8,6,3,2,0,0
2017,3,2,2,0,0,1,0
