SID,BASIN,ISO_TIME,LAT,LON,WIND
2011270N18139,WP,2011-09-26 00:00:00,18.13,139.2,25.0
2011270N18139,WP,2011-09-26 06:00:00,18.13,139.2,25.0
2011270N18139,WP,2011-09-26 12:00:00,18.13,139.2,25.0
2011270N18139,WP,2011-09-26 18:00:00,18.4,138.57,30.0
2011270N18139,WP,2011-09-27 00:00:00,18.7,138.03,30.0
2011270N18139,WP,2011-09-27 06:00:00,18.87,137.7,40.0
2011270N18139,WP,2011-09-27 12:00:00,18.93,137.43,35.0
2011270N18139,WP,2011-09-27 18:00:00,19.02,137.13,35.0
2011270N18139,WP,2011-09-28 00:00:00,19.1,136.77,35.0
2011270N18139,WP,2011-09-28 06:00:00,19.08,136.28,35.0
2011270N18139,WP,2011-09-28 12:00:00,18.75,135.77,35.0
2011270N18139,WP,2011-09-28 18:00:00,18.47,135.18,35.0
2011270N18139,WP,2011-09-29 00:00:00,18.08,134.15,45.0
2011270N18139,WP,2011-09-29 06:00:00,17.67,132.71,55.0
2011270N18139,WP,2011-09-29 12:00:00,17.75,131.75,60.0
2011270N18139,WP,2011-09-29 18:00:00,17.27,130.22,60.0
2011270N18139,WP,2011-09-30 00:00:00,17.75,128.9,60.0
2011270N18139,WP,2011-09-30 06:00:00,17.82,127.32,60.0
2011270N18139,WP,2011-09-30 12:00:00,17.52,125.78,80.0
2011270N18139,WP,2011-09-30 18:00:00,17.07,124.15,85.0
2011270N18139,WP,2011-10-01 00:00:00,16.8,122.75,95.0
2011270N18139,WP,2011-10-01 06:00:00,16.12,120.58,
2011270N18139,WP,2011-10-01 12:00:00,16.67,118.9,70.0
2011270N18139,WP,2011-10-01 18:00:00,16.45,118.77,65.0
2011270N18139,WP,2011-10-02 00:00:00,16.67,117.95,55.0
2011270N18139,WP,2011-10-02 06:00:00,16.9,116.95,50.0
2011270N18139,WP,2011-10-02 12:00:00,17.23,115.95,45.0
2011270N18139,WP,2011-10-02 18:00:00,17.52,115.15,45.0
2011270N18139,WP,2011-10-03 00:00:00,17.65,114.35,45.0
2011270N18139,WP,2011-10-03 06:00:00,17.75,113.65,45.0
2011270N18139,WP,2011-10-03 12:00:00,17.75,113.03,35.0
2011270N18139,WP,2011-10-03 18:00:00,17.9,112.12,30.0
2011270N18139,WP,2011-10-04 00:00:00,18.18,111.12,30.0
2011270N18139,WP,2011-10-04 06:00:00,18.67,109.95,
2011270N18139,WP,2011-10-04 12:00:00,18.57,108.92,
2011270N18139,WP,2011-10-04 18:00:00,18.41,108.5,25.0
2011270N18139,WP,2011-10-05 00:00:00,18.23,108.23,25.0
2011270N18139,WP,2011-10-05 06:00:00,18.04,107.93,25.0
2011270N18139,WP,2011-10-05 12:00:00,18.0,107.45,25.0
2011270N18139,WP,2011-10-05 18:00:00,18.0,107.45,25.0
2011270N18139,WP,2011-10-06 00:00:00,18.0,107.45,25.0
