,adt_na,adt_ep,adt_wp,adt_sp,adt_si,ibt_na,ibt_ep,ibt_wp,ibt_sp,ibt_si
1981,,,270.5,,,,,270.0,,
1982,,263.25,255.0,,,,263.75,255.5,,
1983,,245.75,267.75,,,,245.75,265.0,,
1984,,184.0,299.5,265.25,164.0,,182.5,299.5,265.25,162.5
1985,267.25,204.5,289.0,261.5,251.75,267.25,204.5,288.5,261.75,252.0
1986,,246.375,226.5,,218.75,,245.875,227.0,,218.5
1987,,268.5,271.375,,,,268.25,272.0,,
1988,266.0,215.25,277.5,193.75,263.25,266.75,215.5,277.5,194.0,262.0
1989,252.5,263.75,277.5,252.375,266.0,252.375,264.0,277.25,252.5,265.875
1990,,260.75,286.625,217.75,216.875,,260.75,286.5,218.25,217.375
1991,249.5,269.5,280.0,,212.75,249.5,269.375,280.25,,212.75
1992,237.75,249.25,286.5,243.0,263.75,235.75,249.0,286.75,243.25,263.75
1993,,230.5,243.75,221.25,278.75,,230.5,244.25,221.75,279.0
1994,,219.0,262.625,199.5,256.5,,219.5,262.25,185.75,255.75
1995,223.5,193.25,277.625,,280.25,223.75,193.75,277.625,,280.5
1996,246.25,,254.75,,177.375,246.625,,254.75,,177.375
1997,,246.375,269.25,,181.0,,246.375,269.0,,181.5
1998,280.25,212.75,285.5,188.5,,280.5,213.25,285.5,188.375,
1999,256.375,221.5,263.75,200.0,264.0,256.625,223.0,264.25,200.0,262.75
2000,273.0,172.25,233.5,,246.25,273.0,172.25,233.75,,246.25
2001,306.25,268.0,240.0,,,307.25,267.25,240.5,,
2002,275.0,239.5,213.0,,221.75,275.0,239.5,214.125,,219.5
2003,248.375,,294.75,217.25,247.5,248.75,,295.0,217.125,246.625
2004,252.25,251.25,235.75,,249.5,254.75,251.25,235.0,,249.25
2005,239.5,260.75,232.5,231.75,282.75,239.75,260.5,232.75,230.25,282.25
2006,,221.625,259.125,296.25,266.0,,221.75,260.5,296.5,266.0
2007,238.75,222.5,256.75,,234.75,238.625,223.0,256.75,,235.0
2008,247.25,281.5,266.75,,226.625,247.25,281.75,266.5,,226.0
2009,230.25,242.5,274.875,249.75,221.0,230.25,242.75,274.625,249.75,221.0
2010,250.125,175.0,290.0,256.25,182.5,250.625,175.0,289.5,256.0,182.375
2011,248.0,214.5,224.0,216.5,,248.0,214.75,224.0,216.25,
2012,,193.0,236.5,221.75,217.625,,191.25,236.75,222.5,217.25
2013,,,279.0,169.25,204.0,,,279.0,169.0,204.125
2014,288.5,235.75,218.5,238.875,173.0,288.5,235.75,218.5,238.875,173.25
2015,274.0,241.0,228.75,244.625,246.25,275.5,240.75,228.0,244.5,246.5
2016,280.25,243.0,259.25,213.5,291.75,280.125,243.25,258.0,213.625,292.0
2017,249.0,213.625,251.75,,,247.75,213.625,252.125,,
